0		a	text
1	0.0	a	@marklutchman If you were Jesus ; would you go back to a place that forced you to carry a huge cross a long distanc… https://t.co/Wlh79KaOtK
2	1.0	a	A day before I fully got sick. Lol https://t.co/oKRyElje2t
3	2.0	a	RT @haileybieber: To those foreigners who don't celebrate thanksgiving so sorry your country didn't have Pilgrims and Indians to start such…
4	3.0	a	RT @fams2gether: They just said it. They want people to pack up their stuff and take their sick child and leave. This administration litera…
5	4.0	a	RT @BoBundyy: Baby fever at an all time high rn 🥺 https://t.co/blIuwiOxm6
6	5.0	a	or I’m sick
7	6.0	a	RT @Thomas_Binder: @AOC ...writes the irresponsible disinforming woman who unethically frightens the whole humanity, first and foremost our…
8	7.0	a	@SlimeBallJP You know he’s somewhere sick as hell man smh I know I would be
9	8.0	a	RT @idoItear: fr just sick of y’all screaming about this every 5 seconds like leave them alone???? let them breathe?? they literally kids a…
10	9.0	a	@OmogeDami @thatgoddess____ If u were asked to write an essay, is that how u will make a general statement to descr… https://t.co/mQGzo1IN3x
11	10.0	a	RT @sepraeww: พี่ชานที่หลุด(?)บอกสัปดาห์นี้ตอนงานfever festivalวันที่27 สรุปมาจริง 555555555 อยากตี https://t.co/vSl0Oft1cI
12	11.0	a	RT @MikeGenes: Ahhh I’m glad I’m not a bandwagon guy #LETSGOKNICKS https://t.co/i4OM6PNZI8
13	12.0	a	RT @Wonkette: Because he admitted HE was the one responsible for the policy in the first place https://t.co/1XTj3JHs8x
14	13.0	a	RT @Sundncefn: #WeThePeople are sick of the @GOP doing nothing to stop this very dangerous, attempted coup.  Ds are turning our great count…
15	14.0	a	@alphafemale77 @CashifPierre @MariahR711 @SOS12017 @imill45 @Nanner777 @thebiebz2100 @MjBeliever1 @unitedwaters… https://t.co/ijZP8CIAzq
16	15.0	a	I don’t know why I always get a headache before my favorite class but I’m sick of it
17	16.0	a	RT @TheRISEofROD: He was never supposed to win.  They thought criminal activity would continue as usual.  President Trump exposed the entir…
18	17.0	a	RT @WealthWilson1: @xrenatach @Imamofpeace Conscience? No body walks around with that anymore. All they do is come up with a few sick theor…
19	18.0	a	@OzarkGlenn Not sick thank goodness
20	19.0	a	RT @Sundncefn: #WeThePeople are sick of the @GOP doing nothing to stop this very dangerous, attempted coup.  Ds are turning our great count…
21	20.0	a	@_FloMilli WHY DID YOU GO THIS HARD ONCE AGAIN I’M SICK
22	21.0	a	@thatd1rtyhippie Fuck that they can’t make you and if you have a fever... tell them to fuck off and have a spooky ass day
23	22.0	a	RT @PropelLondon: Sick of reading about the gender pay gap? Here’s what to do about it https://t.co/k6W7yaJuq9
24	23.0	a	🥺
25	24.0	a	@OwenTheOnly1 I disagree but we’ll see what comes. Die? Oh! It’s clear that a reduction of 5% or more in GDP will c… https://t.co/jDwJC56xTH
26	25.0	a	RT @MaxWaltham: #WWECrownJewel one sick event, where T.Fury favoured for sexism, racism &amp; homophobia. Cesaro jobbing to a 4chan troll poste…
27	26.0	a	I’m sick of acting like everything is okay when it’s not good 🎶
28	27.0	a	RT @charliekirk11: Why did House Democrats just block an amendment to their impeachment resolution allowing the President's counsel to sit…
29	28.0	a	@JonDoe297BhaJha @depressionnote That's how it starts. The fever, the rage, the feeling of powerlessness that turns good men cruel
30	29.0	a	RT @Greatm8SFM: MHA Halloween - Tsuyu/Uraraka x Deku ---- I feel like It's not the best I could have done, but given me being sick I'm usin…
31	30.0	a	My cousin (who is a doctor) always says “if your body is trying to get rid of it, why are you holding it in”🤷🏾‍♀️.… https://t.co/8XSCo5xxRq
32	31.0	a	@squash60 @VeeCee30 @DominicGrieveQC That’s made me smile even with my man flu 🤧
33	32.0	a	@Henryyyyg Sick
34	33.0	a	RT @fred_guttenberg: The White House again politicized gun violence with this statement.  BULLSHIT!!!  @SpeakerPelosi and the DEMS have bee…
35	34.0	a	I done had the flu since Sunday and I done lost 15 lbs since then.....Ima stay sick🤧🤧🥴
36	35.0	a	RT @Zak_Bagans: Tonight see why. 9/8c on @TravelChannel https://t.co/2pgJX8yBfT
37	36.0	a	RT @IainGrayMSP: This has got to be the biggest NHS scandal since devolution began.  We are spending millions every month on a hospital whi…
38	37.0	a	RT @lgbtkashy: Idc what anyone says but studying is fucking hard and im sick of everyone presuming that having a job is harder. Yeah you mi…
39	38.0	a	I ripped my shorts but we’re hiding from trick or treaters since Jagger is sick n we don’t want him to b overwhelme… https://t.co/dUPONShIlZ
40	39.0	a	RT @6erardo30: What if me and you catch valley fever together ... jk .. unless 😳
41	40.0	a	RT @GSUMidwest: GramFam please hydrate, dress, stay warm, &amp; have fun. 🥳🥳🥳  EAT  DRINK WATER  CLOSED TOE SHOES  Hats  *Yes her wig counts  S…
42	41.0	a	RT @Vote_CNP: Agreed.  Sick of the East Coast hyperbole.  We need to adapt better to climate change, and we will.  #California is resilient…
43	42.0	a	RT @TheePaintv100: Just found this fucking gun in my sons Halloween candy. Some people are sick in the head. https://t.co/dc1q219Udg
44	43.0	a	@DinaGirdaukas Ingrate. Infiltrator. This pos makes me sick.
45	44.0	a	RT @becky_thinks: baby fever slapped me in the face today https://t.co/ntMvC0JcP3
46	45.0	a	RT @krishtun_: Please be mindful that entrepreneurs aren’t paid sick/maternity/vacation pay. A day not working is a day not being paid so w…
47	46.0	a	RT @fonzfranc: https://t.co/pN44La3ANW
48	47.0	a	bro i’m fucking sick of people being like “u go to ucla so ur hella smart” like stoP so annoying get ur expectations outta here
49	48.0	a	RT @ogmaxb: Just found this fucking gun in my sons Halloween candy. Some people are sick in the head. https://t.co/XyXh5Iibgn
50	49.0	a	@Ebeth030 @itsJeffTiedrich Smells like sick and retarded HillBilly trying to sneak back  .. DISGUSTING 🤮🤮YIKES
51	50.0	a	LMFAOOO them niggas left or not jacking they fans. KD gone. Klay out. Now Steph, they sick
52	51.0	a	*POEM (AIR) PRE 1020.1 mbar TMP 18.0 degc WSP 12.1 kn WDI 300.5 deg @ 2019-10-31 17:45:34 UTC (SEA) PRE x dbar TMP… https://t.co/ZIEveJBJVc
53	52.0	a	This Got Damn Fool, Is Just Mentally Disturbed!!  I Am So Fucking Sick Of Trump &amp; His Got Damn BullShit!!  I Am Fuc… https://t.co/jMkV2ceBEW
54	53.0	a	RT @alexis_why: Still sick... Still horny...  Yes, I did move my mattress into my living room while I die and rest. Thank you for noticing…
55	54.0	a	@CaslerNoel @VP Wtf?? Pence is as sick as all the rest of them! 😡
56	55.0	a	RT @darlinvante: taehyung is so mesmerizing this is so sick and twisted https://t.co/PYJZD18v1k
57	56.0	a	RT @kitscarstairs: gay ppl only want one thing and its SICK.... john mulaney netflix specials
58	57.0	a	Our two superheroes ... superheroes don’t need capes !
59	58.0	a	@_kelseyy_lashay They sick. Ain’t no way in hell im gonna entertain somebody for that long if I don’t wanna be with them
60	59.0	a	RT @Lrihendry: @catturd2 I am so sick of these dumb ass people bragging about her. Fools!
61	60.0	a	@Umairmirza Cant believe people turning the tragedy into sick jokes. Disgusted!
62	61.0	a	RT @peytnhaag: baby fever AND puppy fever?? oh no https://t.co/am88bZAWpj
63	62.0	a	RT @HeardstheWord: I’m sick now because he has an excuse to be the average coach he already was https://t.co/SBglIPV3aO
64	63.0	a	RT @NEJM: Images in Clinical Medicine: Rat Bite Fever https://t.co/NTsprkyFEJ https://t.co/r3d7TYzJB5
